-7.41239E+01	-4.28400E+01	-1.48840E+02	-5.90801E+01	-8.90400E+01	-7.26799E+01	-1.34560E+02	-1.06720E+02	-6.28160E+02	-3.56720E+02	-5.21360E+02	-3.28120E+02	-3.61240E+02	-6.37760E+02	-3.99280E+02	-8.74800E+01	-7.24000E+01	-8.93600E+01	-7.34800E+01	-8.80000E+01	-8.36801E+01	-5.40000E+01	-3.38600E+02	-4.47200E+02	-4.17840E+02	-4.27440E+02	-4.09080E+02	-2.23800E+02	-2.43080E+02	-4.63199E+01	-1.00040E+02	-1.13680E+02	-6.74801E+01	-7.40000E+01	-1.04040E+02	-7.48400E+01
-7.10279E+01	-4.20800E+01	-1.50000E+02	-5.90400E+01	-8.76000E+01	-7.34000E+01	-1.33480E+02	-1.07120E+02	-6.29040E+02	-3.56880E+02	-5.21480E+02	-3.28560E+02	-3.63800E+02	-6.39800E+02	-3.97840E+02	-8.67200E+01	-7.12001E+01	-8.83201E+01	-7.27600E+01	-8.90000E+01	-8.39200E+01	-5.48400E+01	-3.37520E+02	-4.48320E+02	-4.19320E+02	-4.26280E+02	-4.10000E+02	-2.22640E+02	-2.43960E+02	-4.61599E+01	-1.01880E+02	-1.12920E+02	-6.92001E+01	-7.23600E+01	-1.02280E+02	-7.61599E+01
-6.79330E+01	-4.30800E+01	-1.49600E+02	-5.92401E+01	-8.81200E+01	-7.50000E+01	-1.31800E+02	-1.08280E+02	-6.30000E+02	-3.58560E+02	-5.25000E+02	-3.28080E+02	-3.63040E+02	-6.39760E+02	-3.99280E+02	-8.82000E+01	-7.11600E+01	-8.77600E+01	-7.47600E+01	-8.90399E+01	-8.41600E+01	-5.44800E+01	-3.39800E+02	-4.48200E+02	-4.20000E+02	-4.28000E+02	-4.08560E+02	-2.23480E+02	-2.45000E+02	-4.77599E+01	-1.03000E+02	-1.14320E+02	-6.74801E+01	-7.32000E+01	-1.02920E+02	-7.44399E+01
-6.48391E+01	-4.50000E+01	-1.49160E+02	-5.87600E+01	-8.96000E+01	-7.35599E+01	-1.34360E+02	-1.07320E+02	-6.28640E+02	-3.56640E+02	-5.21920E+02	-3.29920E+02	-3.63720E+02	-6.38800E+02	-3.98440E+02	-8.78400E+01	-7.00000E+01	-8.93600E+01	-7.41600E+01	-8.88400E+01	-8.38401E+01	-5.36799E+01	-3.39960E+02	-4.48720E+02	-4.18440E+02	-4.28040E+02	-4.10000E+02	-2.24400E+02	-2.43400E+02	-4.63199E+01	-1.01600E+02	-1.12480E+02	-6.94000E+01	-7.29600E+01	-1.04000E+02	-7.60800E+01
-6.17462E+01	-4.21599E+01	-1.48920E+02	-5.84000E+01	-8.79200E+01	-7.11200E+01	-1.32640E+02	-1.06360E+02	-6.27240E+02	-3.56360E+02	-5.23520E+02	-3.26160E+02	-3.63920E+02	-6.38680E+02	-3.96760E+02	-8.48000E+01	-7.07200E+01	-8.85601E+01	-7.43201E+01	-8.77200E+01	-8.30801E+01	-5.46000E+01	-3.38720E+02	-4.48080E+02	-4.17480E+02	-4.26040E+02	-4.08760E+02	-2.25000E+02	-2.42800E+02	-4.47599E+01	-1.01160E+02	-1.13280E+02	-6.66801E+01	-7.35200E+01	-1.02720E+02	-7.47600E+01
-5.86543E+01	-4.24399E+01	-1.47160E+02	-5.89200E+01	-8.66801E+01	-7.22400E+01	-1.32480E+02	-1.09160E+02	-6.29320E+02	-3.58240E+02	-5.20800E+02	-3.26320E+02	-3.62280E+02	-6.38920E+02	-3.97240E+02	-8.64800E+01	-7.07600E+01	-8.67600E+01	-7.38000E+01	-8.70000E+01	-8.45200E+01	-5.53999E+01	-3.38200E+02	-4.46040E+02	-4.18960E+02	-4.27120E+02	-4.07080E+02	-2.22480E+02	-2.43080E+02	-4.64800E+01	-1.00280E+02	-1.11840E+02	-6.76001E+01	-7.23199E+01	-1.01440E+02	-7.46400E+01
-5.55635E+01	-4.29600E+01	-1.49400E+02	-5.84401E+01	-8.86400E+01	-7.31200E+01	-1.34240E+02	-1.08000E+02	-6.27400E+02	-3.57080E+02	-5.23400E+02	-3.29640E+02	-3.62520E+02	-6.38240E+02	-3.99160E+02	-8.85200E+01	-7.16000E+01	-8.76400E+01	-7.50000E+01	-8.89600E+01	-8.44401E+01	-5.46000E+01	-3.38640E+02	-4.49360E+02	-4.19760E+02	-4.28040E+02	-4.09640E+02	-2.23040E+02	-2.43080E+02	-4.76000E+01	-1.00520E+02	-1.14240E+02	-6.96801E+01	-7.40000E+01	-1.03000E+02	-7.40399E+01
-5.24737E+01	-4.16400E+01	-1.45720E+02	-5.64000E+01	-8.68400E+01	-7.12800E+01	-1.30880E+02	-1.06720E+02	-6.25960E+02	-3.56720E+02	-5.20320E+02	-3.26680E+02	-3.61920E+02	-6.37280E+02	-3.96080E+02	-8.61200E+01	-7.00000E+01	-8.78800E+01	-7.34800E+01	-8.69199E+01	-8.16801E+01	-5.44800E+01	-3.34720E+02	-4.49080E+02	-4.16960E+02	-4.25920E+02	-4.06040E+02	-2.21760E+02	-2.40120E+02	-4.50000E+01	-1.01040E+02	-1.10640E+02	-6.73201E+01	-7.18800E+01	-1.00440E+02	-7.45599E+01
-4.93850E+01	-4.26000E+01	-1.48960E+02	-5.80801E+01	-8.84000E+01	-7.38400E+01	-1.33640E+02	-1.08280E+02	-6.26720E+02	-3.56840E+02	-5.23000E+02	-3.28160E+02	-3.62960E+02	-6.38600E+02	-3.98480E+02	-8.88000E+01	-7.14000E+01	-8.86000E+01	-7.36801E+01	-8.85200E+01	-8.29601E+01	-5.39600E+01	-3.39160E+02	-4.48160E+02	-4.18840E+02	-4.26440E+02	-4.08320E+02	-2.24640E+02	-2.42880E+02	-4.57200E+01	-1.01520E+02	-1.12040E+02	-6.82400E+01	-7.37600E+01	-1.02040E+02	-7.44399E+01
-4.62972E+01	-4.12400E+01	-1.48360E+02	-5.81600E+01	-8.86801E+01	-7.38000E+01	-1.33800E+02	-1.09640E+02	-6.27880E+02	-3.57160E+02	-5.22040E+02	-3.28080E+02	-3.65000E+02	-6.39120E+02	-3.96880E+02	-8.80400E+01	-7.17600E+01	-8.85200E+01	-7.43600E+01	-8.94800E+01	-8.38000E+01	-5.50800E+01	-3.36960E+02	-4.46840E+02	-4.18560E+02	-4.27840E+02	-4.09480E+02	-2.24160E+02	-2.42960E+02	-4.76000E+01	-1.02080E+02	-1.12160E+02	-7.00000E+01	-7.22800E+01	-1.02400E+02	-7.47600E+01
