0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-74.0849,-199.132,-90.0,-730.0,-221.71,-235.0,-600.0,-460.0,-96.9941,-398.812,-264.243,-359.795,-359.912,-74.4012,-294.641,-374.533,-899.535,-429.947,-334.939,-509.792,-348.95,-329.395,-146.6,-134.234,-255.0,-86.5081,-104.674,-253.994,-122.0,-189.404,-110.0,-115.684,-179.943,-174.952,-159.877,-249.994,-315.0,-369.445,-519.432,-1099.72,-309.366,-369.708,-470.0,-529.914,-200.0,-606.034,-336.367,-331.552,-400.0,-484.902
-72.07316215241963,-199.30228264297966,-89.772689452981,-729.8926743250612,-221.74076229054717,-234.86058091021775,-599.8756280567345,-459.89044581166706,-97.01266944520643,-398.87364184861593,-264.4072351345762,-359.8992470754154,-359.98394262720035,-74.684103420254,-294.710619040682,-374.7140712406239,-899.7226707226724,-429.9348807222238,-334.98469701914155,-509.9204180268085,-349.2009830067433,-329.60994296927106,-146.87828681399517,-134.40754417553,-254.83932607064017,-86.4705691619064,-104.84666670620666,-254.02734330816625,-121.76396971441483,-189.33376411734318,-110.00829987098976,-115.89271532243414,-179.9922908873001,-174.95580850231264,-159.97741472660985,-250.02111039489836,-314.9516095086334,-369.51221163840063,-519.4937690600257,-1099.8892307516244,-309.3912138435708,-369.80393011611056,-469.86807110791614,-529.8969996430893,-199.92544497379862,-606.1818923222022,-336.62978433362656,-331.45039265913715,-400.00854811575044,-484.7509247593688
-70.06142430483987,-199.48152663943665,-89.50947165208106,-729.7128711235107,-221.82187694237297,-234.70118281209207,-599.7362926584212,-459.7706702532893,-96.97642203753209,-398.96772392922486,-264.5154684124529,-359.9819865701016,-359.996378885374,-74.8955230310089,-294.7333916486782,-374.88604381159286,-899.8870466663155,-429.9083131563376,-335.002510673415,-510.00848059637997,-349.4913804532978,-329.835781930928,-147.15338886123516,-134.56122020647044,-254.68582830464106,-86.43569480470202,-104.96538525073376,-254.07007381743458,-121.46087106649024,-189.24540886490684,-109.9754301047574,-116.0709720758233,-179.9938939084734,-174.98190209940006,-160.00031346576847,-249.96449447151267,-314.93624005767265,-369.6384676567174,-519.552583457219,-1100.0016452925584,-309.43134822101723,-369.8805865545326,-469.7180121679446,-529.8383715525995,-199.86842763603863,-606.4251780858785,-336.85406433065185,-331.40725081481935,-399.93512741915674,-484.6101995925086
-68.04968645726012,-199.64603286336273,-89.2339813411902,-729.4772504879663,-221.90770125458945,-234.52820166199717,-599.5759083964817,-459.6304955678838,-96.88543200644439,-399.08116998151365,-264.526229265391,-360.00213210306913,-359.9182616869074,-74.9977983928376,-294.68858926116553,-374.9957989528931,-899.9951320903224,-429.84217713841656,-334.95689299180884,-510.0052781532217,-349.76054367177966,-329.9932273307897,-147.35491722233547,-134.67298421831742,-254.5386881010312,-86.39560042392407,-105.00141419392612,-254.10867286151847,-121.14452075790157,-189.1316544126929,-109.86612904223819,-116.17626581043564,-179.93336601624063,-174.9998336951482,-159.93557586316254,-249.84132020732065,-314.94205090242224,-369.787966268897,-519.5729930714309,-1100.0054708895925,-309.43815309398735,-369.8990252963218,-469.5449006706904,-529.7486123636622,-199.8230639951306,-606.6974675445759,-336.9942108037794,-331.4216618413561,-399.7841704096474,-484.448673928837
-66.03794860968037,-199.7758142088619,-88.97315961308666,-729.2104407624437,-221.9529538721679,-234.34360537900372,-599.3932130583615,-459.4614714172955,-96.74436940081749,-399.19991837505324,-264.41210992060456,-359.9247146814137,-359.7278349079645,-74.96548059488381,-294.56315641752167,-374.9942923518422,-900.016033037189,-429.71683884454933,-334.8194859356625,-509.86920927073686,-349.9487076862166,-330.00990005230767,-147.42063708190318,-134.72470781641698,-254.3916149710405,-86.34623323974454,-104.93478791313304,-254.12897612254014,-120.87172778955899,-188.99011456589784,-109.65274786477428,-116.17529854906164,-179.8035440161429,-174.9779475457882,-159.78129158959197,-249.67128077680474,-314.9537051739534,-369.9235881377974,-519.525797247329,-1099.8637331845343,-309.3725744501043,-369.8304100222026,-469.34902580547043,-529.6388391447396,-199.78049069134232,-606.926024102119,-337.0143068204449,-331.4869035641856,-399.56902293640076,-484.24110702628514
-64.02621076210062,-199.86954581470832,-88.76977267632697,-728.9761134155024,-221.91517277653196,-234.12739536446756,-599.2111117044508,-459.26398798534325,-96.580671983636,-399.30476617889485,-264.2162726803764,-359.74597758452063,-359.45005235673517,-74.83419697260157,-294.38273207176576,-374.85356058928835,-899.9299761785248,-429.54073118249397,-334.5986615442218,-509.60617840516335,-350.00136567891855,-329.8494838830596,-147.33017784072953,-134.7179634880298,-254.21158841932075,-86.30248677408032,-104.78943690356837,-254.11384637850526,-120.71311952511606,-188.84285267806408,-109.34624269693144,-116.08106734572657,-179.63349069295953,-174.87924237516813,-159.57659185061266,-249.4858988478762,-314.9384760385732,-370.00225778801763,-519.4132054262304,-1099.613453641686,-309.24195010264236,-369.6966177309715,-469.1570137779697,-529.5228924932859,-199.7171463497259,-607.007862072654,-336.92754920109775,-331.56716936046536,-399.3473166019324,-483.9922668690018
-62.014472914520866,-199.93577991217344,-88.64235532428184,-728.8170117279329,-221.7943778185331,-233.8600280438787,-599.0619712244946,-459.0494874328739,-96.4200160054372,-399.3661309777832,-264.0138793690362,-359.4973658431335,-359.13456694200033,-74.65892329295292,-294.19824860767517,-374.5811844555342,-899.7457168462965,-429.35693043041334,-334.346047379411,-509.27622156331495,-349.9001272245628,-329.54873468987955,-147.12086421898556,-134.6653939783278,-253.983328111795,-86.27793594599765,-104.60334811829351,-254.05573836333016,-120.69653843881746,-188.71860568420416,-108.99154362159194,-115.93145268702824,-179.45616832812198,-174.69377017639184,-159.37274246245528,-249.2875560341629,-314.8620719072986,-370.0050505945932,-519.2536751229754,-1099.314330758932,-309.08465662966614,-369.54214211074805,-469.01495328331026,-529.3998774933458,-199.6131702989337,-606.8918405004379,-336.7847887556086,-331.6162943133296,-399.1786073316252,-483.73494377565663
-60.00273506694111,-199.9843806805278,-88.5658512560398,-728.7224797205971,-221.64691358656842,-233.5420159005289,-598.9758821482052,-458.84034431395,-96.2727962503837,-399.34566078994663,-263.88263761474195,-359.2411947814225,-358.84180975987323,-74.486164416258,-294.0736785581269,-374.2263886565111,-899.5096595918449,-429.23865328905913,-334.15067509373443,-508.9866357186952,-349.67832544534883,-329.22512540765433,-146.8869093626175,-134.58554538023625,-253.73459076982692,-86.27234975883036,-104.41224398825489,-253.9676384546834,-120.77917697880976,-188.63976141804514,-108.66027218866671,-115.77010977441552,-179.29116573034824,-174.4569337248424,-159.21595392886303,-249.03401921416352,-314.69964013513845,-369.9514134010532,-519.0717747726053,-1099.0195345860986,-308.95145245678117,-369.41332392032524,-468.97605121658825,-529.2513981658103,-199.463463606813,-606.6187033347207,-336.6598196663005,-331.59066445095056,-399.0990010610037,-483.5232260375033
-57.99099721936091,-199.9996766779757,-88.48579569618073,-728.6240071303699,-221.53470327236798,-233.2383400491417,-598.9527232615516,-458.65827559850857,-96.12774349117012,-399.2236525425192,-263.83296578654927,-359.0206436145589,-358.61526231908584,-74.30724054595309,-294.0441968006867,-373.8575607139417,-899.2947912280074,-429.2317804720987,-334.07043929032056,-508.81259358253214,-349.40570806211474,-328.98565120964486,-146.7064032200821,-134.49301117032104,-253.54480124383525,-86.25964458528239,-104.23483845845882,-253.90330756444246,-120.86883833459113,-188.59695649481395,-108.40830236466334,-115.58883919961356,-179.13624519701156,-174.2484157811673,-159.12637751023126,-248.67802949189294,-314.4534689157695,-369.8840654087239,-518.876788170516,-1098.7448347948296,-308.8327421004501,-369.31164187417306,-469.04414374154686,-529.0795947283989,-199.28632903540492,-606.29317101419,-336.58387403976855,-331.4736533077608,-399.09703166310595,-483.38890282462836
-55.979259371781154,-199.95332887721648,-88.36433444763885,-728.4624203548615,-221.49142899079158,-233.03811760387433,-598.9786053333515,-458.52452212168316,-95.97219116696792,-399.02125853174414,-263.8336259221515,-358.8507142658389,-358.4859986908499,-74.10261504603444,-294.10985065213845,-373.54006300239513,-899.1665626022967,-429.3417177430058,-334.1177149822701,-508.7770799642305,-349.16114578684176,-328.87888699987445,-146.6199303247186,-134.40820897335473,-253.48943442952944,-86.22251842020377,-104.09388749873644,-253.93247680680065,-120.88286709384256,-188.56593964186152,-108.27304946631857,-115.28141455088526,-178.99331280450352,-174.14935737580686,-159.11122565674808,-248.22199452356767,-314.1553638604361,-369.8406101907324,-518.6821991043613,-1098.4917783620454,-308.69288495492395,-369.22585087448147,-469.1775550349358,-528.9172990624294,-199.11446863289535,-606.0065385895798,-336.5535555337297,-331.28462713226264,-399.14592640236845,-483.339234674095
