0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-74.0849,-213.46597691805573,-218.8935128982971,-198.5358048650082,-178.62422747600863,-183.5948224424031,-183.01655219801955,-138.9815714642666,-247.4731862809348,-188.0248906650911,-241.5845366949035,-171.92939666302414,-185.54513284436567,-167.82714625537707,-179.06666769896458,-143.0271372750394,-137.07680744929704,-148.75664835345958,-163.24727584642304,-152.3577190771905,-141.0224608884256,-133.6171439527768
-72.07316215241963,-213.5159587034121,-219.0410801221176,-198.7599054204996,-178.5996565122125,-184.33219293536126,-183.44202622187117,-139.98000455792445,-247.36637395095,-188.98919370291094,-241.1247050439142,-172.55635255407174,-184.87672746533894,-168.64538349690804,-178.69026168934937,-142.15764388539634,-137.35281022744658,-149.76563338508146,-163.23001956059977,-152.87901966403047,-141.20123177255246,-133.74798024863227
-70.06142430483987,-212.81155789015347,-218.25392052563228,-198.03749030024363,-178.20511502340761,-186.49946177380204,-185.99246016950738,-139.7401508913709,-247.9225008917289,-188.3570311689342,-242.32641644587824,-173.4981596745029,-184.9037198620426,-168.3903062284247,-178.635474393449,-143.2988161507937,-138.1280166108782,-149.97659504786785,-164.15208932375432,-153.57697460510144,-140.86000941245533,-134.42808708806194
-68.04968645726012,-212.77980614012196,-218.18827366574098,-198.38229524074114,-177.970752513933,-186.38987430412178,-186.921752604019,-139.1137937621192,-249.09130050684988,-187.9478218906218,-242.45509092309482,-173.5976919234169,-185.7232331229035,-168.61215630716742,-178.22809191400157,-144.01968699140832,-138.52208126266163,-149.16772801602903,-164.71538329850029,-154.24739783771682,-141.307581681779,-133.84626698672653
-66.03794860968037,-213.28897860174115,-218.9705797681946,-199.6503701777064,-178.31755010601452,-183.99237849906152,-185.04368894759062,-138.42589456137694,-249.8144486777001,-188.18203123260668,-241.28289481219878,-172.88325192588337,-186.49059905168832,-169.42448393483875,-177.59683169149426,-143.56146202186065,-138.40047670747444,-148.11891562508484,-164.3174964915999,-154.31733876273984,-142.3393767978683,-132.08145575435225
-64.02621076210062,-212.30295734375767,-218.70057135485888,-199.00641133433245,-179.26767302658317,-183.98532391619855,-182.8812482693993,-137.37186716316006,-248.10457412556133,-187.5909720268893,-241.79272523349192,-172.84820003258181,-185.45650523226607,-169.0280034113901,-177.811969533132,-143.49882366027427,-138.5233499392793,-148.6360337749112,-163.4327590035431,-153.06913302964313,-141.91382395239307,-131.68754486391745
-62.014472914520866,-211.16623629373916,-217.64121564150108,-197.88488079412235,-179.13519370617095,-184.3257694434931,-181.6926884174067,-136.88871753817855,-246.38754186278004,-186.42152268794047,-242.6255682437653,-172.5466661496696,-184.71986373178657,-167.58742333208806,-177.91788273506216,-143.91868909808667,-137.92400794129688,-148.90145115712764,-162.70019736856088,-152.82507975115607,-141.35413199531698,-132.33733383177992
-60.00273506694111,-211.5527297874591,-217.29011383988322,-197.90660001939008,-177.64170960615073,-183.162175078174,-181.88417684781615,-137.49590118525325,-246.83941310437467,-186.1930076612844,-242.12088654321096,-171.6465427254839,-185.66496512849577,-166.6785069836174,-177.4559647076952,-144.14309312065112,-136.8299881468643,-147.73073356981644,-162.7200554606443,-154.33414671011553,-141.72355143226972,-132.8815193178117
-57.99099721936091,-212.6217863706647,-219.01580137174184,-197.43519678424465,-178.02858691781884,-184.3767887100897,-183.3848852779749,-137.88652645875803,-247.49223576637925,-188.62088971552768,-241.73857698940483,-172.626342260939,-185.33517134853452,-168.21821145255285,-178.32517914843424,-143.57464130965394,-138.4830645067601,-147.8442724731731,-163.7545537002068,-153.45279793475726,-140.90179961950915,-133.18129293890465
-55.979259371781154,-212.26929173555183,-219.85087493788518,-196.7119701124414,-178.59148914054964,-185.77152133695856,-184.02890482588532,-137.21261178012477,-247.5214668349015,-189.8201448495266,-240.87543843706996,-173.2147403136597,-183.72709983273478,-169.44789121278023,-179.1082242667149,-142.40265516175617,-139.14125409168022,-148.0433430003048,-164.14270554921418,-151.9500455697055,-139.40568122308682,-132.45288784354125
-53.9675215242014,-210.2627346606517,-217.8283193814407,-196.8350393486989,-177.31911681894502,-184.53375017946266,-182.48797571073118,-136.11110735387405,-247.24577746885484,-186.97995952692116,-239.09780769502464,-171.34114057289318,-182.66242819922138,-167.93524987330727,-177.99451448169904,-141.52217922963462,-135.8800137728036,-146.9104406523893,-162.62043868752437,-152.84476225075383,-138.85736006552574,-131.00227606252014
-51.95578367662165,-211.36799952383817,-218.16713090759637,-197.92072740348044,-177.88956789543406,-184.6183048801517,-181.7696054521704,-137.40058170216696,-247.5058157833318,-186.35985910209132,-239.1645249363364,-171.42760962038847,-183.58136033359017,-167.62125707620152,-176.78280143933182,-142.22685020580343,-136.234575106172,-147.65920473039023,-161.19605765442364,-153.90450887646043,-139.5269975849998,-132.20330258684237
-49.9440458290419,-213.8758347343269,-218.9097819306911,-198.88968501067558,-179.29749536294088,-185.6417422035141,-182.77625362684822,-139.3394540985805,-248.45408526349,-187.83013496646296,-240.7326957904096,-173.1024678086953,-185.56754698062966,-168.0888625897024,-176.8593876175141,-143.0307124162402,-139.19094378284234,-148.6855261079601,-161.52327089489148,-153.9552404442417,-140.67771174880744,-134.73008628792508
-47.932307981462145,-213.45102494821074,-216.34323646556192,-198.47197734879546,-178.6765125687,-185.02764687901163,-184.15408500930306,-138.78522967671634,-249.194392856716,-187.69650990217175,-241.6252274738595,-173.37725789795542,-186.52537185254525,-167.16332581813424,-178.11621826048926,-142.0958516522755,-139.46075996996169,-147.05066220891484,-163.60397003623174,-153.27699141961168,-141.19961235584262,-135.09024825421037
