0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-74.0849,-87.97882916383419,-123.55535482505526,-161.48707961893922,-85.448507831338,-199.53748942617406,-227.4558805051787,-223.07722585828043,-329.0085403423003,-192.69533075817412,-222.8949754678414,-264.7509847220428,-448.5001061009157,-453.42901130723726,-448.11285954413097,-252.91701903678612,-208.04071107010753,-378.5100084920944,-376.96247582320126,-222.16572119580547,-174.5328495053007,-298.5323907961929,-768.2898971539527,-598.5345421739308,-458.9545317636404,-337.3757212921245,-618.8114806302132,-348.45681198622714,-783.7630186362653,-363.45729828608074,-418.54267641860565,-123.8058472017758,-308.62486156430737,-92.08486067560112,-398.9315870024174,-154.05486595273877,-479.3617450442695,-449.1560180805348,-352.67551220728444,-476.6639218004249,-302.97933184142,-252.34197045918413,-403.50981515683054,-877.9681166096493,-698.5670576192393,-748.4485358932312,-577.4887794343132,-647.846900318171,-388.379174992099,-268.7574894596961
-72.07316215241963,-89.30449691820445,-123.58728784931515,-161.37130527902283,-85.04746970712633,-199.3978782158278,-226.68009464805584,-223.2192748299534,-330.0204130811368,-194.06532508102157,-222.37221203475488,-264.19341768506985,-448.9243202867298,-454.6483543106066,-448.6782439331407,-254.24139644402212,-209.21236654119133,-378.30007701558293,-377.67399709484715,-222.55043682324435,-173.9669017535756,-298.36320294748094,-768.2074579685163,-599.0395537235626,-458.6897764825636,-337.24212741883855,-620.0247639353857,-349.4827717118419,-784.1227391614512,-364.1127109884432,-417.61491495373093,-123.38094058826509,-309.1974789711042,-92.12130035658019,-398.42083668466785,-153.7880336870709,-479.36935562572114,-448.79038940956116,-352.2494872808669,-477.19291720626865,-303.4456575765636,-252.01426701586237,-404.31470896250977,-877.7440305434866,-700.050914005641,-749.6873120110672,-576.1337165478698,-647.2392742853147,-387.6328867971925,-268.2719501270253
-70.06142430483987,-90.27003984875533,-123.70407602328098,-161.22815680070232,-85.51981709611252,-198.73847079563362,-226.7371074855094,-223.74722272746885,-329.35322680913896,-194.17212958427808,-224.06279991886,-264.88949030208255,-449.56582816723096,-454.9347685553441,-448.63134375279293,-256.0142438181932,-209.39988836847317,-379.2926423089646,-378.3879679843952,-222.47564294887474,-173.78506184814464,-298.8798113446628,-769.6271708555322,-599.4902831452898,-457.60740545170296,-338.3354227235615,-619.3625374880373,-348.6792286228022,-788.5140039970454,-365.0004123792696,-416.8749999629157,-125.70679786562634,-309.1335208749116,-92.87803031684986,-397.80910632852147,-154.7198412403396,-479.29737146083835,-449.37612424191525,-353.07407979659433,-477.03301855902015,-304.1012590868761,-253.91126304091168,-404.54273470188235,-878.0034633600037,-698.9415261257635,-749.6265959162911,-578.0789311941737,-647.8867796479109,-388.42042442864187,-268.6237189037267
-68.04968645726012,-91.0484055640841,-123.76989144100567,-162.73412009417046,-85.82634940338272,-198.73310067597177,-227.70642616143928,-223.87660581975967,-328.41443918180664,-194.32778250964472,-225.122786311362,-265.457088082057,-450.0282612267134,-454.98715991054024,-449.20686871262086,-256.15145882678576,-209.04330269155355,-379.44477984473326,-379.2160491578995,-222.23894264108847,-174.14468963134232,-299.59146888286983,-769.7303147828079,-598.848465508077,-457.6419498341524,-338.2900290891856,-618.9833350950082,-348.11331668664195,-789.5914867446656,-364.6788807884062,-417.9015271560569,-126.89455168465179,-309.5909840871039,-93.19135281946275,-398.5566267645522,-154.83342635477203,-479.3686652067017,-449.5223272608145,-353.3938374082928,-476.6941292373805,-304.7712470741081,-254.57674536827565,-404.88177498268027,-878.2587968680331,-697.8743895537405,-749.7344401205215,-579.2261574791887,-648.4036587727437,-389.1455366244867,-269.31853081693095
-66.03794860968037,-91.33262711752488,-123.86300346143683,-164.9151435621119,-85.63491009194676,-199.2541801991305,-228.76699609664524,-223.55004782340282,-327.9415590207247,-194.47586068573807,-224.1140643875214,-265.17558263305733,-449.53346417416117,-454.59191096195275,-450.0426303701407,-254.60825323709267,-208.24737953844198,-378.3765566324686,-379.90747220412703,-221.9560062524027,-174.37653658572034,-299.99969833628467,-767.7608160920511,-597.4445712065417,-459.0108455035622,-337.0268956031081,-619.3683873184888,-348.6181452044939,-786.3740170305846,-363.11917942820025,-419.8764519741509,-125.66711900956003,-310.1304446597159,-92.7661873905156,-399.97664526008447,-153.48387399208303,-479.18454525776104,-448.8267150789507,-352.779554144976,-476.3165507687694,-304.61341437978984,-253.41192218214016,-405.1077919699148,-878.4165903458803,-697.8730793946279,-750.0797344834133,-578.1167352117602,-648.5603988134706,-389.01429260588657,-269.4277212994877
-64.02621076210062,-90.31574757899803,-124.19439337096237,-163.61982215680266,-85.55678129371917,-198.56404259420555,-228.1006556295227,-223.62704218587646,-327.66202861812087,-192.94774342609935,-221.92933111332604,-264.4359735703345,-447.25708455729546,-452.71134190885005,-448.83694896161165,-254.00263669573576,-206.85309618220197,-377.95189860358346,-379.68881278563254,-221.55122518833267,-173.0288238464074,-299.67942475970585,-766.0494371581648,-597.3453582748654,-459.58092564010263,-337.378431561144,-618.740679743992,-349.12784654164125,-786.1891205351232,-362.2296998573562,-419.1079518143062,-124.51115257968735,-308.4625132210002,-92.51974851075182,-398.85451807728106,-152.11766383195618,-477.73604693815565,-448.3140118815752,-352.5955420254945,-475.66562353332955,-302.37131199075185,-253.515388222878,-403.95947373006413,-878.8017373712104,-697.7271073898735,-748.993488630292,-577.1627216041819,-649.5292462065661,-388.44280527759213,-267.8593795745948
-62.014472914520866,-88.86993319340546,-123.57280671355946,-160.90126050820464,-85.26360541037107,-197.59799054208642,-226.6104573308841,-223.60351411985022,-327.3438530860204,-191.48027327358471,-220.92638280060527,-264.42536170646224,-446.2868111125553,-452.4105393013925,-446.84383576148696,-253.79550300138507,-206.49324800683718,-377.99246683155064,-377.9986315695515,-221.5705613528564,-172.1144510989985,-298.83686797112523,-766.6141326256698,-598.1176064822264,-459.08516604633286,-338.09093797627474,-617.4259304612149,-348.3805824196536,-786.5067288271317,-362.409249153108,-417.50545405182714,-124.46459559289518,-306.51305609254194,-92.59796191499849,-397.33246696883174,-152.2557452880549,-476.4615388949038,-448.4768265037977,-352.60859831072014,-475.86525491131823,-301.1823290722126,-253.3226787511469,-402.717800073445,-878.4286941283403,-697.7671005397673,-747.6327285418978,-577.7994052124777,-649.903059567935,-387.8065283078583,-267.16167061996913
-60.00273506694111,-88.132335875321,-122.1067733446672,-160.1100885795757,-84.99114674812517,-197.41261694393887,-226.18669409647103,-223.1135651198812,-326.94080146065835,-191.80009108924457,-222.23817487891864,-265.3931898695853,-448.13094517669117,-454.67668147385933,-446.46863891414455,-253.27952131862278,-207.72644214550013,-377.9684417694544,-375.96680939168255,-222.42573748139728,-173.28643014026895,-298.06007406673154,-768.9018870851658,-598.6210337067902,-458.29858762287824,-337.77186784865006,-616.8140320049066,-346.86149456591806,-784.6687224711275,-363.1123240969499,-417.8138812229361,-125.04715411758508,-306.65222981849934,-92.78765569387339,-397.86360692182586,-153.77950445846167,-476.88028179178065,-449.10887534599703,-352.46834920606153,-477.261225731008,-303.1126056409246,-251.9723100669052,-402.60962923415286,-877.4070217416612,-698.399550381362,-747.6116289216643,-579.2852501324386,-648.9403671455201,-387.7921727702669,-268.65108810048895
-57.99099721936091,-88.2363027919657,-122.9906820703062,-161.28190690618908,-86.39522992553933,-197.06609589805439,-227.83543123891954,-223.0961428421043,-326.61914782628145,-192.62423312004302,-223.6922061809084,-265.407500601085,-448.49968806490733,-453.8665759487941,-448.61351533558263,-254.00025335868546,-207.8617178524949,-378.42687017291564,-377.02983506756226,-223.5751250840097,-174.5501451914451,-297.9994816917176,-768.6308536529149,-598.6074194708592,-458.05993027284353,-338.10507718611336,-617.9608878423535,-347.75707170772307,-785.8440812403171,-363.4389651283421,-419.2057690263749,-124.67746371949342,-308.159388814421,-92.92473407220004,-398.73532414939547,-153.87682236437473,-478.35281939522685,-449.274234567372,-352.8905923963431,-477.7136538353003,-304.6565678276294,-253.40190852983332,-402.6060180885162,-878.4735732107273,-698.6873804529131,-748.6956137187283,-578.3816212022681,-649.0199208945929,-389.3763967173528,-268.6663289996967
-55.979259371781154,-88.90916456374217,-124.35436879315584,-161.97217728623954,-86.45699707069942,-197.04267230316213,-229.2132820958019,-222.86728603708855,-326.28617994097937,-192.717189626172,-223.6179984933274,-264.0767816215567,-447.4687210911284,-451.6828247320143,-449.39702596415077,-254.72741326961943,-206.94936164748717,-378.4528776668541,-378.6330516954949,-222.9385166871509,-174.0117863789495,-298.15490537765686,-767.0463733267576,-597.5807626576972,-457.93454591366486,-337.6730347341347,-618.3308156908857,-348.6853965287746,-787.0245342441272,-362.42574230635336,-419.0678262473338,-124.02514415064802,-308.2097697006002,-92.65910487920313,-397.90995697586754,-152.38703829450597,-478.38812655256953,-448.25552118893137,-352.7540543058365,-476.4347210479367,-303.950688892187,-254.7318419589729,-402.3347885637755,-879.1213663489967,-697.4919771868631,-748.8778752473581,-576.2279986600356,-648.7035867070373,-389.644138522684,-267.43574179758616
-53.9675215242014,-89.40819586152246,-123.39206122001907,-160.7383190060285,-83.51051858800064,-197.9718478179927,-228.36333387746095,-221.97462491442747,-326.14383587535394,-192.10527978717062,-222.17003235920555,-262.93281920226457,-447.219125463163,-451.9524413659626,-446.35000822079,-254.10633604195164,-206.58170470069135,-377.6164423008084,-377.581306764166,-220.3931998417596,-172.01539969107296,-298.0606776696585,-767.0655596385479,-596.0220352660616,-457.6225974008049,-335.4648603147207,-616.5442905324578,-347.0110524735892,-784.6498653218883,-360.5428080222289,-416.53453120322786,-124.31935770240833,-305.5873335470121,-91.87573580700507,-395.4649142383565,-151.0469029342826,-476.36878397869685,-446.68149271750843,-351.40280388393813,-474.4532249102058,-301.74612050218894,-252.68408164276758,-402.0296021101998,-876.9730488745506,-695.1953277202506,-747.1877576666667,-575.534877472885,-646.5284570299909,-386.9028531113854,-267.0817506644787
-51.95578367662165,-88.51428298671664,-122.01213306261312,-160.78670307595445,-84.37450683894627,-198.78390960556837,-228.12005409798337,-222.50771325409042,-327.2869808761463,-192.9316743982809,-222.3039979095981,-265.0906521786016,-448.2406418896466,-453.0989769714575,-445.6209186847248,-254.16864136313527,-207.7149506578825,-378.3098146266176,-376.9626456340961,-221.48651803140348,-172.8813357107031,-298.6511125152248,-767.8653463628926,-596.7559511774044,-458.53087956196674,-335.43707785359135,-617.774973278549,-346.65730504667204,-784.8381206400045,-361.2056231677613,-416.1128366453667,-125.06937249037652,-304.71302804502164,-91.22346856002596,-395.710806334298,-151.93689000330764,-477.46336607504736,-447.52901272867064,-351.4379073843333,-474.58558254090514,-301.5474573313268,-252.0419002271636,-402.120348525192,-876.5831717397206,-695.383694215471,-746.7608966873573,-576.5650876492076,-645.971706179546,-386.74370242280435,-268.22046011203275
-49.9440458290419,-87.74500964844711,-121.985443621574,-161.37386616241298,-86.78857064810263,-199.1501591916744,-228.63091094760998,-223.72503665799448,-329.1084251598648,-193.87254479482888,-223.6980791528959,-266.9346828652225,-449.24126803622886,-453.54112850183935,-447.59016798750554,-254.8549759924853,-208.5724622746427,-379.3323218081498,-377.62222277472705,-224.14309330222744,-174.84694099292608,-299.0446013883809,-768.3768427069557,-598.5758951505438,-459.2931503386243,-337.4783479385579,-619.835616162403,-347.7426483657485,-787.0530557006254,-363.3976245147131,-417.5840471446663,-125.94650518892767,-306.63054839532305,-91.14842916675528,-397.7328365816295,-154.10053104523828,-480.19535845058584,-449.5092212396066,-351.92481711866253,-476.0008547749443,-302.52733067798005,-253.2019735824168,-402.5816146187671,-877.7202122042687,-697.5117993963802,-747.655802321122,-577.9991585129687,-646.9870962055157,-388.73824681543283,-269.0580687615447
-47.932307981462145,-88.73776280954642,-123.39225903423711,-160.40009535126856,-85.02527743411238,-199.1130221541409,-228.48870422323333,-223.7747869878508,-330.02231293657314,-192.5969515424851,-224.13579142881204,-264.0868811697035,-448.7857312052319,-452.75119549819686,-448.51742322709975,-254.8206931306185,-207.16316547313704,-378.4595136441722,-378.2653755259098,-223.29996301832682,-173.96021083325618,-298.18200254217294,-768.1939750524109,-598.7048393052667,-458.00100328380836,-338.9307932494336,-618.2307818134259,-347.93859649561114,-787.0978760824595,-364.0351680109562,-417.97665271666756,-126.25744207431931,-309.1716143312188,-91.589883090954,-398.0795428652074,-154.78648840367822,-480.08659548984303,-449.569817977704,-351.07232787387437,-476.405222835105,-302.22062166525035,-253.71490672979303,-403.03748441608906,-877.8558462168583,-698.5780161784828,-748.2314632053572,-578.2229923842357,-647.4392737878378,-389.12987779059074,-268.0069306863454
-45.92057013388239,-88.3733479169819,-123.26998059338297,-160.44792774946842,-82.93163449111478,-198.01209960299536,-228.22872785423047,-223.65374816905168,-329.21765141322777,-191.04985552767877,-223.13576910190727,-262.819274388631,-447.9088978083006,-451.71607482118964,-446.594112703691,-254.02483184041415,-205.8226630651006,-377.980793939604,-377.66108046796796,-221.396607066036,-172.61243358190035,-298.16332026367303,-768.1612803166621,-598.1816714263277,-456.8510112389873,-339.0630706471453,-617.3907464600659,-347.0725504309777,-785.7320079201263,-363.42772701487775,-417.0413568647392,-123.83732697652336,-309.27018846522947,-91.71920017118154,-397.2224857234105,-152.3382015039957,-478.39607568472456,-448.42998657909084,-351.9553200793436,-476.6937184266986,-302.3627858853631,-253.6332005990761,-403.08098058371195,-878.7357369488888,-697.5203796346367,-748.9065118323508,-577.16669432854,-647.321555117583,-388.1822626116275,-268.0067001884871
-43.908832286302186,-86.74352505945029,-121.47487375656134,-160.71640080169914,-82.61538003654836,-196.94888595248221,-227.583410257326,-223.36498790123042,-326.95508871065834,-191.0510738158888,-222.06592541740346,-263.99761949087076,-447.07669408023264,-451.4132384525502,-444.77101819053706,-253.3077882687828,-205.960482173623,-377.7549713285302,-376.97025874742883,-220.51152080401437,-172.24093465183086,-298.7652446503941,-768.0106535698498,-597.7843667503228,-456.9915633971355,-338.100314210269,-617.7883788720526,-346.27071224301494,-784.8387195183243,-362.48073524160526,-415.93119329650546,-121.60412883624076,-307.53015122556826,-91.77896272679364,-396.3344827611672,-149.99412074374217,-477.44617325936923,-447.4132871298417,-353.2270260391819,-476.64730069682514,-302.8376561853388,-253.74442443842275,-402.96217083372443,-879.3244523122422,-696.0552420285236,-748.8275518124163,-575.3924752626932,-646.8511519739745,-386.86329786153664,-268.8935723072904
-41.89709443872243,-86.4615574683745,-120.32384498909106,-158.9034471887224,-83.44416719780513,-197.36715628534333,-226.17564985126677,-222.31306224192156,-324.6704549231978,-192.70972585559235,-222.43169942742597,-263.87961287239847,-446.4835290718751,-452.2102060122855,-446.92857821695594,-253.61426309188127,-207.26529273836164,-376.2579763212726,-377.73387742252237,-220.95731941697963,-172.50816628913435,-298.22169317423123,-766.9441990039657,-597.4587917872822,-457.72465424679575,-336.815141494484,-616.7697861027765,-346.65794669292626,-785.5757273809464,-361.9726550799683,-415.94551413746314,-123.83877309432346,-306.8184900523369,-92.35231373868676,-396.1819732063464,-151.98618462452174,-478.375482876738,-447.4398973320737,-351.491969391129,-475.5366353438628,-302.1537152438442,-254.41296297425694,-403.2460700368373,-877.1830101970672,-696.6828325013214,-747.1013211099391,-574.0265820315825,-646.3041785660103,-386.25874220539765,-268.36456058831016
-39.88535659114268,-87.4674739776508,-121.13911035210424,-159.09572117516734,-84.91642483537309,-196.75654126777627,-226.3187385928269,-221.97870207539881,-325.07046087488305,-192.85179929692993,-222.02545896570282,-263.2209949990728,-448.02532282510384,-453.130030368921,-448.0541692449745,-254.4168935063827,-208.24347560008246,-376.0820663800468,-376.40688571736376,-221.69800199271535,-172.77315357641208,-297.49258632033275,-766.0262326557826,-596.9316151749325,-457.0651023490546,-336.13887617234786,-616.3040748934498,-346.87524021875595,-786.0189937818305,-362.20921493308174,-416.36560059510987,-124.83203513052592,-307.11285437971156,-91.92821662370072,-396.16219503998326,-153.06675442132288,-478.27438077493616,-448.1902812126692,-350.8656796434684,-475.449229411655,-301.3252627139793,-253.8544340105385,-403.70976996359616,-874.8900142995279,-697.8491982343187,-747.1000841530376,-574.9930729723228,-646.5558157881384,-387.76019834077863,-267.60652099016403
