0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-74.0849,-42.826209375785695,-148.87033551794093,-59.07258027850737,-89.01104873398144,-72.66210331448853,-134.58925354580475,-106.7045512943657,-628.1570202025578,-356.67926881533646,-521.267508870319,-328.162619410776,-361.3194959341204,-637.8021678351093,-399.2158801484918,-87.43934506255063,-72.36030470569284,-89.35915402083513,-73.42055263636951,-88.02330804189657,-83.68130410807852,-54.018518957332965,-338.53634085928473,-447.233135219249,-417.85295599520316,-427.38627041408193,-409.14144893252796,-223.7616054929669,-243.0702598618904,-46.279279496917084,-100.05265822504931,-113.61770953329831,-67.57494029900637,-73.94098764873137,-103.99692699132834,-74.9196464393683
-72.07316215241963,-42.22118482814957,-149.85566987689378,-58.95987526040782,-87.88366019146736,-72.79958410279842,-134.38517291075814,-106.70924658224507,-628.5697723005662,-356.2531381732838,-520.1776688830096,-328.8937275025453,-363.62882446989806,-639.3866186530732,-397.6644644912191,-86.51856754703044,-71.26537152119249,-88.80191528762158,-72.29401758777519,-88.82709904363584,-83.81700256504894,-54.69633628512013,-337.15605987288154,-448.21744114156377,-418.78075781886713,-426.09297164308276,-410.3790205148018,-222.67071961684402,-243.40504578802114,-45.68241370010777,-101.15780942106497,-112.45970558450024,-69.63062406930746,-72.3589091167655,-102.53350726314142,-76.58801145182443
-70.06142430483987,-42.126640180190854,-149.97395156346047,-59.139595152807516,-87.53627662702478,-74.04887929284659,-132.57407319179956,-107.58017396661003,-629.4857277758974,-357.62071634955043,-523.0441915977674,-328.151628576098,-363.61598932710604,-639.9704995796912,-398.3002817975527,-87.13705837752238,-71.26097289301147,-87.92011414974763,-73.47373644041214,-89.06150185627047,-84.01562695414799,-54.850997263965546,-338.20343052515597,-448.2867091946961,-419.7396654572419,-426.7495049558286,-409.4028543978572,-222.81684068946004,-244.49347579708092,-46.78568226591675,-102.47784773565763,-113.57284872183179,-68.44235040080406,-72.61733042416199,-102.29030892662138,-75.44654570548248
-68.04968645726012,-42.99100289696098,-149.62604599254598,-59.2440862389882,-88.0608797573839,-74.98527592793441,-131.76163440365423,-108.26782854758775,-630.0013902059812,-358.56489428886357,-525.0152725380409,-328.0245453901508,-363.05231218422966,-639.7890555102334,-399.25424764273765,-88.15292014944242,-71.19046434392097,-87.72856969351996,-74.73154772791834,-89.04216334070003,-84.1561766032365,-54.51397262215974,-339.7369963030969,-448.1944472174595,-420.01954841000895,-427.943934884245,-408.55584991390396,-223.44469870523974,-245.01494685401502,-47.74724366016627,-103.01397947004892,-114.34108798954952,-67.458327738541,-73.18933975190781,-102.86954090424192,-74.43293409808815
-66.03794860968037,-44.69505358607976,-149.22650289032407,-59.00171458675198,-89.24318411629395,-74.47494388959333,-133.48648575761803,-107.93876434849851,-629.4173596782335,-357.5465223396259,-522.9994892963101,-329.5986426723668,-363.3208145357706,-639.1468736217809,-399.03531052519367,-88.44216992474333,-70.34091089278036,-88.77964803918424,-74.48081135053066,-88.98605169055443,-84.09015615041699,-53.864758786365186,-340.18042969629033,-448.4957308256375,-419.1730614110505,-428.3979195983213,-409.42512561867244,-223.98991008833434,-244.10987959534583,-47.16296983140627,-102.18889485077337,-113.09577696072321,-68.86916254040104,-73.00748391783975,-103.75624069463979,-75.49806689534087
-64.02621076210062,-44.50790803526507,-149.2275290061347,-58.59895759821721,-89.45055769844197,-72.78539106221318,-134.3007606099246,-106.81080811310882,-628.0265318686413,-356.22856774947405,-522.1180749980401,-329.3024330093017,-363.9570277677792,-638.667773191942,-397.9527949484938,-87.01914941161886,-70.06788275118048,-89.45641203283041,-74.1444938147314,-88.64600744136291,-83.55915073661896,-53.766427509423295,-339.69313502787566,-448.79666159071553,-417.9988578398835,-427.50316378288414,-410.04170566733757,-224.7643001936215,-243.0852289423898,-45.71479633853865,-101.39500076031545,-112.5850331148042,-68.99555234543993,-73.14570187354285,-103.89917954080633,-75.97483087385993
-62.014472914520866,-42.364010396667695,-149.05670399730562,-58.39154237993273,-88.13719299207345,-71.21050830546915,-132.83883940275,-106.25894644099952,-627.1855964287801,-356.2379535815617,-523.5299909126331,-326.4733787946371,-364.00538513930326,-638.6574927854833,-396.86004446033087,-84.93589993920989,-70.67059817517595,-88.73357745136924,-74.33688542091765,-87.85406898021859,-83.06313819978067,-54.483020323083394,-338.83890873135675,-448.2680992660157,-417.4645485145664,-426.12685714080106,-408.99245973534795,-225.10623611054302,-242.80750459975056,-44.76997235321874,-101.20434916008949,-113.30564368342819,-66.88034583313494,-73.56385122936791,-102.90445465993385,-74.87286121951956
-60.00273506694111,-41.91911419295289,-147.52390163172385,-58.66156452701789,-86.75107654756714,-71.42045915885998,-132.01833346718516,-107.99308201797417,-628.5050990242295,-357.5849297211404,-521.8093178075212,-325.4139076866584,-362.9270078440562,-638.864776039027,-396.5981720804929,-85.20047443029016,-70.69410016457662,-87.31845959069324,-73.89232117793823,-86.93120920751548,-83.77070816439259,-55.248627957339195,-338.1207103393687,-446.47681010526674,-418.104917442139,-426.32955547849406,-407.2479879237198,-223.47026568647775,-242.8433328941255,-45.45781814331345,-100.6397149852314,-112.2090132336025,-66.61534367086158,-72.63612335717467,-101.59528179334733,-74.60049427131229
-57.99099721936091,-42.7127295779218,-147.61622996147418,-58.99526802596196,-87.06828110911434,-72.658887052266,-133.02552173498276,-109.28780721448679,-629.2587410625205,-358.2091299856816,-521.1327296786116,-327.18428696196395,-362.20754849259026,-638.8740478328878,-397.8360341846095,-87.20851603291163,-70.97580400519183,-86.78341087312965,-74.02457107585809,-87.42156368360827,-84.78830491120542,-55.297461384447296,-338.49857197353543,-446.47774992055975,-419.3996367878979,-427.52540655568356,-407.6156029750174,-222.43688721436624,-243.2782463356307,-46.98014359500626,-100.2230007292453,-112.28857490728763,-68.24452814887157,-72.62091958346532,-101.77598102795689,-74.54011916184163
-55.979259371781154,-43.047979311762056,-149.42811989025657,-58.66537809688982,-88.56417053882502,-73.23876582008306,-134.34169543538513,-108.3005381774228,-627.7674976834446,-357.27163272608465,-523.2940716401796,-329.55367293974797,-362.4965536396095,-638.3996726523189,-399.2416646989074,-88.58423490710369,-71.63331317558473,-87.50581819132397,-74.95660728642504,-88.90520246580016,-84.69285865695672,-54.68986795691106,-338.9390010501041,-448.97712727124895,-419.94132748653124,-428.1306510617827,-409.61519734807723,-223.04771044568218,-243.3376045580516,-47.71189548777225,-100.44032866421311,-114.20782584337798,-69.67222448121267,-73.97086242374829,-103.01279079261663,-74.0735201457397
-53.9675215242014,-42.16527202267556,-147.4036045463058,-57.178792541119854,-87.7682903288251,-71.96223363435304,-132.38889640427564,-107.055651391094,-626.3447387002084,-356.73537108034645,-521.8578083055073,-328.25393587746834,-362.2438674233112,-637.5551713475346,-397.4267477984331,-87.12668354119985,-70.74290807670826,-87.81893659396066,-74.36399694758781,-87.96869628848835,-82.85782057628113,-54.52847003657798,-336.139814680839,-449.640999816859,-418.1471975386254,-426.9773920619377,-407.86377178752326,-222.20406775883114,-241.23512014525002,-46.30492125850022,-100.81738953869728,-112.50963346270855,-68.60540596195267,-72.86649370331476,-101.69013290442572,-74.26421074316255
-51.95578367662165,-41.70111045555189,-145.8349208612062,-56.43785764811363,-86.84932153513223,-71.44898695371802,-130.93288728926407,-106.77817896252469,-625.9758409720232,-356.7219246185882,-520.383557425345,-326.57263814955485,-361.9032369636284,-637.3702393501922,-396.19492320799765,-86.27405511849736,-70.00823079549569,-87.96508368673852,-73.31078692187127,-86.89694812471743,-81.60590643224504,-54.383226809675875,-335.07249163628177,-448.9096822615166,-416.98862532071183,-425.7600552365684,-405.95076242856715,-222.02031405925243,-240.2816458103452,-44.791384263189535,-101.0972865374591,-110.48850347475513,-67.11494039146065,-71.97651677680925,-100.40872629156706,-74.58503122808429
-49.9440458290419,-42.5008277810894,-148.37475126103416,-57.665324744045726,-88.0467660092168,-73.34086586954255,-133.04176424538383,-107.80674825037691,-626.5165135547868,-356.7776141808209,-522.4967987670328,-327.7691852885856,-362.55373107786545,-638.3141283834956,-398.15630152373456,-88.32848228755427,-71.0406118659238,-88.48283203440985,-73.46292651441424,-88.10427190751989,-82.57520463449492,-53.95294978602295,-338.5300517631659,-448.3721311935954,-418.4605471005391,-426.1500561886995,-407.692261745502,-224.1592275684438,-242.41361184557942,-45.296063825509464,-101.37633806733712,-111.67168399552773,-67.73642180189907,-73.50738465296396,-101.66929946135967,-74.45169536913983
-47.932307981462145,-42.18388827623456,-149.11345820761318,-58.75024431299979,-88.81395722825562,-74.37998258519274,-134.27563391251743,-109.56209399683418,-627.2226130517507,-357.09509339122775,-523.1105349729992,-328.55478791874526,-364.2960372697356,-639.0950766343616,-397.94958269224213,-88.9646163158635,-72.01053414244488,-88.70436144857901,-74.34130043222517,-89.22883026128432,-83.69049672823796,-54.408921394803684,-338.7401062630653,-447.4040827472146,-419.06494358101133,-427.27345211168847,-409.3713652062243,-224.92575592387792,-243.04277335744402,-47.017761024132085,-102.00737482316234,-112.31402012935663,-69.76462225398325,-73.3304184659608,-102.42546585909378,-74.58454537075919
